Sample_Index,Error_mm
1,28.100496
2,6.00973
3,11.748947
4,26.512358
5,23.886856
6,10.531993
7,11.221255
8,6.9334617
9,13.792394
10,18.162233
11,29.329062
12,20.577522
13,21.077303
14,14.652145
15,13.969798
16,8.753361
17,25.477625
18,19.189125
19,25.92667
20,1.6770307
21,5.8901086
22,22.337358
23,8.6003685
24,28.03881
25,12.198641
26,26.01192
27,14.658317
28,19.628723
29,12.500981
30,24.741693
31,18.199873
32,16.132019
33,18.258875
34,13.462881
35,11.059381
36,20.967491
37,20.130852
38,5.956899
39,14.808431
40,27.593454
41,7.855868
42,17.418179
43,18.303013
44,11.429288
45,0.98282075
46,19.038807
47,13.36058
48,9.547324
49,5.9286156
50,15.648933
51,13.5617485
52,16.26297
53,20.203821
54,18.985493
55,29.014418
56,21.742691
57,30.844423
58,19.706783
59,21.699797
60,17.547916
61,9.299896
62,9.944266
63,19.530775
64,12.738058
65,20.668848
66,23.828354
67,25.590101
68,22.176836
69,20.477015
70,24.385796
71,8.20486
72,18.594276
73,10.581398
74,15.193815
75,9.693658
76,17.252169
77,19.910576
78,6.256619
79,14.55726
80,14.534801
81,20.119692
82,16.655865
83,16.615282
84,16.708399
85,15.82966
86,21.099897
87,16.743084
88,25.24161
89,32.501343
90,16.537394
91,24.262857
92,26.624554
93,24.279099
94,14.111732
95,24.641357
96,11.754835
97,15.430318
98,29.757967
99,16.965958
100,12.081183
101,21.390682
102,17.524511
103,12.304882
104,6.0650926
105,6.392859
106,18.547455
107,18.265232
108,23.665974
109,19.179117
110,11.302513
111,7.636925
112,19.094975
113,19.009552
114,16.541674
115,23.318748
116,6.6583185
117,29.6353
118,12.653604
119,18.201422
120,24.76777
121,17.180063
122,4.8272314
123,19.782017
124,24.463242
125,12.265171
126,27.251049
127,22.353012
128,21.885681
129,19.954271
130,15.458693
131,14.421002
132,26.321753
133,8.581041
134,13.686514
135,12.755491
136,23.697712
137,8.088575
138,13.762375
139,12.043989
140,13.309334
141,13.190632
142,24.157944
143,9.1266365
144,10.189747
145,23.002537
146,20.189651
147,27.599045
148,17.745893
149,22.433748
150,26.934662
151,16.126143
152,10.773136
153,10.570387
154,22.406757
155,18.991272
156,16.171177
157,20.45353
158,23.335693
159,19.574562
160,26.605919
161,16.593878
162,22.014223
163,14.516776
164,16.086481
165,23.455702
166,19.91378
167,23.77266
168,7.333743
169,27.090992
170,11.779865
171,8.048028
172,11.95467
173,15.911073
174,9.294334
175,29.843714
176,19.449415
177,12.4088335
178,20.240126
179,21.250093
180,15.347858
181,10.874724
182,24.53069
183,6.794343
184,15.805463
185,12.061024
186,12.12446
187,12.940768
188,27.058495
189,22.237797
190,33.454086
191,4.195526
192,16.703482
193,14.160136
194,16.30155
195,27.469223
196,11.803726
197,10.567461
198,14.212409
199,15.2754755
200,17.769873
201,14.661288
202,17.488405
203,7.9063196
204,9.397434
205,21.90918
206,17.740955
207,10.84472
208,21.691801
209,10.031409
210,16.282837
211,18.506342
212,12.4051
213,22.195545
214,21.827257
215,22.5616
216,17.964483
217,23.816776
218,12.678533
219,22.937504
220,28.128149
221,16.354237
222,16.971344
223,12.482425
224,13.91886
225,12.333117
226,15.2548895
227,14.329771
228,10.630087
229,20.42864
230,24.269587
231,13.542117
232,21.292152
233,3.8736992
234,12.962331
235,19.461674
236,14.982749
237,19.841913
238,12.356579
239,23.155949
240,27.157438
241,23.007607
242,7.217
243,9.081565
244,12.228061
245,18.017063
246,23.377207
247,18.459171
248,12.820973
249,26.143122
250,24.106224
251,16.51953
252,18.846302
253,24.322855
254,26.38492
255,2.9625082
256,13.660949
257,18.802105
258,12.8546
259,14.574546
260,15.701355
261,13.450293
262,16.746971
263,13.124838
264,21.697796
265,7.6795826
266,13.548229
267,20.25099
268,9.615181
269,15.376918
270,16.848537
271,9.061759
272,8.669819
273,8.165189
274,22.61619
275,11.813451
276,7.983451
277,16.593779
278,18.905762
279,3.9167233
280,24.523428
281,8.504988
282,15.779918
283,11.619782
284,27.740746
285,13.806772
286,7.0352807
287,9.810867
288,16.986656
289,13.885514
290,10.452438
291,16.951797
292,11.44349
293,16.824814
294,25.255596
295,18.952381
296,13.368074
297,16.762701
298,19.927324
299,30.861917
300,34.758244
301,9.51692
302,8.428147
303,12.102297
304,10.939777
305,14.056929
306,10.461124
307,20.293995
308,13.81431
309,13.094039
310,16.276869
311,10.112933
312,23.167768
313,18.533861
314,27.448717
315,5.290586
316,12.937145
317,17.556593
318,16.894758
319,18.915857
320,25.35896
321,8.470245
322,12.786122
323,6.0970926
324,13.847177
325,11.347451
326,10.459404
327,9.569194
328,17.129063
329,16.665827
330,17.799706
331,11.270138
332,19.629833
333,11.056362
334,9.8747
335,9.27873
336,17.208536
337,11.558062
338,23.352425
339,19.148363
340,18.008818
341,10.461938
342,21.211618
343,21.444178
344,9.193784
345,14.334416
346,12.281472
347,17.582972
348,18.855703
349,10.089555
350,16.125898
351,17.575598
352,14.134067
353,23.182076
354,20.26231
355,19.713608
356,12.719296
357,22.026348
358,24.617474
359,26.844166
360,11.544275
361,13.841973
362,10.08007
363,16.59041
364,20.523779
365,25.016642
366,21.051985
367,12.901824
368,12.858459
369,16.911522
370,10.9295635
371,8.78219
372,18.151936
373,22.764246
374,18.005478
375,3.9628398
376,25.535448
377,8.953088
378,20.658028
379,7.8417463
380,10.694103
381,12.596953
382,16.503517
383,13.8820715
384,12.4287195
385,23.84279
386,12.644516
387,23.687525
388,19.351618
389,8.660449
390,6.1127872
391,22.261522
392,19.305902
393,5.7078676
394,5.503515
395,18.14819
396,26.796364
397,15.156937
398,14.753609
399,11.200329
400,24.578749
401,29.703363
402,17.883204
403,28.187626
404,9.789755
405,13.012754
406,19.696348
407,21.863874
408,11.196491
409,15.441143
410,18.686857
411,9.1502075
412,17.724215
413,22.571667
414,10.34568
415,11.540373
416,16.569849
417,23.191957
418,15.774719
419,14.112794
420,13.0097685
421,20.32724
422,24.163616
423,23.737907
424,19.592144
425,20.873007
426,17.724276
427,26.543537
428,13.965865
429,10.774263
430,11.844656
431,11.688846
432,31.024023
433,7.998657
434,6.0380597
435,10.222018
436,25.574389
437,14.700284
438,5.731949
439,12.698393
440,12.034596
441,8.495874
442,25.586407
443,10.125453
444,14.388765
445,24.213135
446,10.270122
447,16.714645
448,15.816608
449,26.896383
450,12.471681
451,11.257997
452,18.296747
453,10.400588
454,23.21694
455,23.543533
456,12.275423
457,13.889802
458,11.978585
459,22.208132
460,17.126308
461,14.381403
462,18.971117
463,23.591246
464,13.11426
465,6.8584337
466,18.926718
467,20.563164
468,7.7454014
469,7.880071
470,13.367025
471,14.576286
472,23.530151
473,5.8480115
474,22.902075
475,26.93347
476,19.868177
477,17.084934
478,9.789026
479,21.248278
480,25.662916
481,29.133566
482,11.577641
483,22.884132
484,14.918668
485,29.579903
486,8.435888
487,10.621617
488,14.052479
489,36.211277
490,15.593682
491,4.7839136
492,15.229378
493,29.417934
494,26.141743
495,10.191229
496,21.348415
497,26.053905
498,16.613997
499,14.653451
500,26.818907
