epoch,train_loss,test_loss
0,0.4180822602748871,0.387653765296936
1,0.3821722098350525,0.37990326170921324
2,0.3782058298110962,0.3778452793598175
3,0.37770956630706787,0.37861952366828916
4,0.37685830302238466,0.3771703689098358
5,0.37658017263412474,0.37598047614097596
6,0.3757647514343262,0.37696946115493773
7,0.3760056222915649,0.3752499047279358
8,0.3753238732337952,0.3750670627117157
9,0.3749872491836548,0.37563618698120116
10,0.3747715955734253,0.3750179365634918
11,0.37482917222976686,0.37725410814285276
12,0.37513758268356323,0.3749785679340363
13,0.3746361297607422,0.375666943359375
14,0.3750676745414734,0.37444860758781434
15,0.37490369033813475,0.37609244112968443
16,0.3747189521312714,0.37582373938560487
17,0.3747986605644226,0.3747372982978821
18,0.3744958242893219,0.37539836759567263
19,0.3740821979522705,0.37549545187950134
20,0.3739977068424225,0.37566389055252075
21,0.37378940382003784,0.3785029321670532
22,0.37458565578460695,0.37380145173072815
23,0.374146143245697,0.37482772555351257
24,0.3738055613040924,0.3750647710323334
25,0.3735733752250671,0.37383632788658144
26,0.37329604120254517,0.3730050739765167
27,0.3732540892124176,0.37426160292625427
28,0.3731422529220581,0.3736396385192871
29,0.3727559498310089,0.37247291560173035
30,0.3725603051185608,0.37256995534896853
31,0.3723838532447815,0.3725735555171967
32,0.372446234703064,0.37309015111923216
33,0.3726140441894531,0.3730609266281128
34,0.3727714169502258,0.3725141086101532
35,0.3722602127075195,0.37746401324272155
36,0.37307490057945253,0.3727018660545349
37,0.3724861711025238,0.37222940497398377
38,0.37229498300552366,0.3756470381259918
39,0.3728576426506042,0.37230773525238037
40,0.3720179602622986,0.37227286067008974
41,0.37241245579719545,0.37243830399513245
42,0.3723394501209259,0.3728266317844391
43,0.37252890667915345,0.37304396538734436
44,0.3720891796112061,0.37189914984703065
45,0.3719000135421753,0.37224292345047
46,0.37198218898773194,0.37307329907417297
47,0.3720475429534912,0.3717790885925293
48,0.3717785889148712,0.3720914309978485
49,0.3718314805984497,0.37253246607780455
50,0.3722818727493286,0.3719957385063171
51,0.3718208787441254,0.3720580677986145
52,0.37212175736427305,0.37220545172691344
53,0.37201556811332703,0.3718143132686615
54,0.3717774867534637,0.3726040117263794
55,0.371793850851059,0.37229292464256286
56,0.3722411208629608,0.3723199728012085
57,0.3716423655986786,0.37178993167877195
58,0.37151125955581665,0.3716189908027649
59,0.371484800863266,0.37268019251823425
