epoch,train_loss,test_loss,learning_rate
0,0.0043715632030367855,0.00402258242726326,0.001
1,0.004017995304018259,0.004071782436966896,0.001
2,0.003975814860165119,0.003868618329167366,0.001
3,0.0038959701204299927,0.00389187066167593,0.001
4,0.003897588969618082,0.003891643803417683,0.001
5,0.003862229720801115,0.0038605305165052414,0.001
6,0.0038668022276461124,0.003848347028940916,0.001
7,0.0038580583760142325,0.0038852718694508074,0.001
8,0.0038580766977369787,0.003843813308477402,0.001
9,0.003839184626042843,0.0038974713945388794,0.001
10,0.0038517928832024336,0.0038369472156465053,0.001
11,0.0038264471045136453,0.003832462241053581,0.001
12,0.0038510198552161455,0.003926898596137762,0.001
13,0.003838467711508274,0.0038213579569756984,0.001
14,0.0038075365023314952,0.0038115414342284205,0.001
15,0.0038037970075011254,0.003804587364792824,0.001
16,0.003801184116303921,0.0038284507091343404,0.001
17,0.003817906835079193,0.003844467149078846,0.001
18,0.0038373426280915736,0.0038540434245765208,0.001
19,0.003816953502893448,0.0038052784913778304,0.001
20,0.0037984477773308754,0.003864899887740612,0.001
21,0.0038202965240180494,0.00468682605534792,0.0008
22,0.003838592060506344,0.003814352886378765,0.0008
23,0.003831764674335718,0.0037901918986439705,0.0008
24,0.0038124561303853987,0.0038820049884915353,0.0008
25,0.003837528102397919,0.0038499686419963836,0.0008
26,0.003814045136123896,0.003799219042360783,0.0008
27,0.003793428235203028,0.003796860352009535,0.0008
28,0.0037993473307043313,0.0037988218815624714,0.0008
29,0.003789592690318823,0.0038136938565969465,0.00064
30,0.0038047806128114463,0.0038052258291840554,0.00064
31,0.003776475073993206,0.003792442285269499,0.00064
32,0.003782969814091921,0.0038125329983234404,0.00064
33,0.0038081399311870336,0.0037958357322216032,0.00064
34,0.003816621713489294,0.0037874672980606557,0.00064
35,0.0037873014794290068,0.0037877502638101576,0.00064
36,0.0037985223089158533,0.003805242690593004,0.00064
37,0.003779299016222358,0.0037731523503363134,0.00064
38,0.00378154167547822,0.0037931158451735975,0.00064
39,0.0037906969356536866,0.0037804285150766373,0.00064
40,0.003798823649287224,0.003834628321826458,0.00064
41,0.0037919172616302965,0.0037941704778373243,0.00064
42,0.0037858284195512533,0.0037818311129510403,0.00064
43,0.0037933795619010924,0.0037987093260884283,0.0005120000000000001
44,0.0037815699647367,0.0037969307573139668,0.0005120000000000001
45,0.0037782917241752146,0.003769724647849798,0.0005120000000000001
46,0.003772182258069515,0.0037796761268377305,0.0005120000000000001
47,0.0037941381978243587,0.003788172127306461,0.0005120000000000001
48,0.0037948725174367427,0.0038034496961534023,0.0005120000000000001
49,0.003781091262474656,0.00376831658706069,0.0005120000000000001
